sl.no,Type,Course Code,Course Name,Course Type,Ver sio n,L,T,P,J,Credits
265,Open Elective,CFOC163M,Advanced Computer Architecture,Online Course,1,0,0,0,0,2
266,Open Elective,CFOC164M,Software Project Management,Online Course,1,0,0,0,0,3
267,Open Elective,CFOC165M,Software testing,Online Course,1,0,0,0,0,3
268,Open Elective,CFOC166M,Hardware Modeling using Verilog,Online Course,1,0,0,0,0,2
269,Open Elective,CFOC167M,Synthesis of Digital Systems,Online Course,1,0,0,0,0,3
270,Open Elective,CFOC168M,Switching Circuits and Logic Design,Online Course,1,0,0,0,0,3
271,Open Elective,CFOC169M,Demystifying networking,Online Course,1,0,0,0,0,1
272,Open Elective,CFOC170M,Modern Algebra,Online Course,1,0,0,0,0,2
273,Open Elective,CFOC171M,Introduction to Haskell Programming    2,Online Course,1,0,0,0,0,2
274,Open Elective,CFOC172M,Flow through Porous Media,Online Course,1,0,0,0,0,3
275,Open Elective,CFOC173M,Bioenergy,Online Course,1,0,0,0,0,2
276,Open Elective,CFOC174M,Introduction to Biostatistics,Online Course,1,0,0,0,0,2
277,Open Elective,CFOC175M,Nanotechnology in Agriculture,Online Course,1,0,0,0,0,2
278,Open Elective,CFOC176M,Computer Aided Drug Design,Online Course,1,0,0,0,0,2
279,Open Elective,CFOC177M,Drug Delivery: Principles and Engineering,Online Course,1,0,0,0,0,3
280,Open Elective,CFOC178M,Functional Genomics,Online Course,1,0,0,0,0,1
281,Open Elective,CFOC179M,Introduction to Proteogenomics,Online Course,1,0,0,0,0,3
282,Open Elective,CFOC180M,Introduction to Mechanobiology,Online Course,1,0,0,0,0,2
283,Open Elective,CFOC181M,WildLife Conservation,Online Course,1,0,0,0,0,2
284,Open Elective,CFOC182M,Organic Chemistry in Biology and Drug Development,Online Course,1,0,0,0,0,3
285,Open Elective,CFOC183M,Bioinorganic Chemistry,Online Course,1,0,0,0,0,1
286,Open Elective,CFOC184M,Spectroscopic Techniques for Pharmaceutical and Biopharmaceutical Industries,Online Course,1,0,0,0,0,3
287,Open Elective,CFOC185M,Biophysical chemistry,Online Course,1,0,0,0,0,3
288,Open Elective,CFOC186M,Deep Learning,Online Course,1,0,0,0,0,3
289,Open Elective,CFOC187M,Blockchain Architecture Design and use Cases,Online Course,1,0,0,0,0,3
290,Open Elective,CFOC188M,Ethical Hacking,Online Course,1,0,0,0,0,3
291,Open Elective,CFOC189M,Organic Farming for Sustainable Agricultural Production,Online Course,1,0,0,0,0,2
